"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
94,25.751797875865066,25.650783920641686,25.658647800947335,25.580148030189378,25.339675789516434,25.01741523998129,25.69795299081875
96,25.759549708082034,25.66011717322266,25.66785678570585,25.588025053147078,25.346048310732215,25.017718255810394,25.704325641535945
98,25.767181870727825,25.66930167013612,25.676919036471475,25.59577808015996,25.352326286750156,25.01802088619644,25.71060374510097
100,25.774703336198797,25.678351196483447,25.68584838897749,25.603417971676265,25.35851414965515,25.018321379646693,25.716791733741047
102,25.782106661747036,25.687254317309964,25.694633366281266,25.610935718817643,25.36460822291434,25.018621189002545,25.722885930809525
104,25.789391847232025,25.69601103240467,25.70327396817828,25.61833132143471,25.370608506433143,25.018920314263198,25.7288863362146
106,25.796567030220615,25.704633056323985,25.71178184182594,25.625614243608823,25.37651986221607,25.01921744034763,25.734797812052307
108,25.803634917464308,25.713124285610718,25.720160861351076,25.63278763333227,25.38234390747556,25.019512129814586,25.740621975568047
110,25.810591028348824,25.721478270119235,25.72840461372533,25.639846279621736,25.38807796513396,25.019805106726892,25.746356149636313
112,25.817435362750018,25.729695009664454,25.73651309876874,25.64679018234625,25.39372203510635,25.020096371084435,25.752000334173886
114,25.824179265147848,25.737790111899187,25.7445017094239,25.65363184409415,25.399283847367485,25.02038481150447,25.757562259277393
116,25.830820115127665,25.745759971663063,25.7523668901286,25.66036837695134,25.404761616401004,25.020670684687218,25.763040139404325
118,25.83735549022248,25.753601256129798,25.760105353908386,25.66699711115956,25.410153691570088,25.020954227940422,25.768432323894444
120,25.84378539032224,25.761313965137276,25.767717100605353,25.67351804660251,25.415460072798226,25.02123544126397,25.773738812673514
122,25.85011922948007,25.768910292749922,25.775214114769653,25.67994127575372,25.420687895875915,25.02151421237926,25.778966741602062
124,25.856354342977795,25.776386787324157,25.782593004064836,25.686263941866002,25.42583514097197,25.02179057306597,25.78411409083151
126,25.862492038989842,25.78374514333069,25.789855433848572,25.69248744738917,25.430902799679927,25.022064507720813,25.789181851966646
128,25.86853371018759,25.790987164689398,25.797003177048225,25.698613285359272,25.43589192763949,25.022335999732775,25.794171080659225
130,25.87448074924538,25.79811465532549,25.80403800659525,25.70464294881532,25.440803580493764,25.02260503249107,25.799082832563613
132,25.88033454884072,25.805129419168964,25.810961695426215,25.710577930799843,25.445638813887115,25.02287158938435,25.80391816333588
134,25.886096501654777,25.812033260155147,25.817776016482583,25.716419724359014,25.45039868346629,25.02313565380183,25.808678128634824
136,25.89176875378581,25.81882880869358,25.824483556897746,25.722170404957467,25.455084956233065,25.023397482317876,25.81336449552714
138,25.897353709429638,25.825518978319735,25.831087182722342,25.727832247578192,25.45969964287616,25.023657425090335,25.81797927478476
140,25.902851944652355,25.83210467717396,25.83758778441637,25.73340611399948,25.464243028015233,25.02391516940321,25.82252275098108
142,25.908264974964084,25.838587843936068,25.84398726766284,25.738893592221814,25.468716283265223,25.024170743178217,25.82699609575093
144,25.913594315877674,25.844970417289858,25.850287538149075,25.744296270249436,25.47312058024346,25.024424174337412,25.831400480731986
146,25.918841482909045,25.851254335924125,25.856490501566952,25.749615736088856,25.477457090568635,25.024675490802053,25.835737077562897
148,25.92400799157673,25.85744153853142,25.862598063612324,25.75485357775034,25.481726985861826,25.02492472049431,25.840007057885032
150,25.929095357402105,25.863533963808152,25.868612129985024,25.760011383246535,25.485931437745933,25.025171891335788,25.844211593340788
152,25.934103207677083,25.869530261509055,25.87453135084155,25.76508809389992,25.49007058626404,25.025412408680438,25.848350824074373
154,25.939033651603665,25.875433404409193,25.880358655458792,25.770086129869753,25.494145927379975,25.025647753825353,25.85242624604399
156,25.94388850125989,25.88124584774954,25.886096460835176,25.775007494844033,25.498158794733,25.02587868067377,25.85643919289612
158,25.948669165904278,25.886969345133878,25.89174648945692,25.779853627885075,25.50211030189331,25.026104956982692,25.860390778225337
160,25.95337705479693,25.892605650169514,25.89731046381354,25.784625968058265,25.50600156243314,25.026326350508555,25.864282115628043
162,25.95801357720137,25.89815651646694,25.90279010639773,25.789325954430808,25.50983368992587,25.02654262900836,25.868114318702055
164,25.962580142382365,25.903623697639716,25.90818713970515,25.79395502607275,25.513607797946577,25.026753560238546,25.871888501046612
166,25.967077267258276,25.909007718247096,25.913502095063734,25.79851367925204,25.517324484073868,25.026961309363344,25.875605260267548
