"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","T_pumpB_out.T"
220,26.131495625996592,26.11796345881538,25.403041394803438,25.761418579153883
222,26.13389021435927,26.120604660974266,25.40433284018178,25.762710050542523
224,26.136237571081494,26.123193763179813,25.405598855802907,25.76397609165997
226,26.13853870965619,26.125731884409618,25.40683998805315,25.765217248903355
228,26.140794544505354,26.128220031781723,25.40805672709547,25.766434012446155
230,26.1430056990352,26.130658883827152,25.409249397938254,25.767626707302725
232,26.145173309528616,26.133049698166644,25.41041861665161,25.768795949556647
234,26.14729831869346,26.13539351385583,25.411564889450858,25.769942245432844
236,26.14938144204183,26.13769112230517,25.4126885769943,25.771065955597123
238,26.151423322638777,26.139943235957332,25.41378999352611,25.772167394299743
240,26.153424987794267,26.142150986085028,25.414869699461917,25.773247121967813
242,26.155387296025935,26.14431531997576,25.415928147077636,25.77430559088657
244,26.157310810117508,26.146436865088333,25.416965682565944,25.7753431472554
246,26.159196286733902,26.14851645855964,25.4179827216671,25.776360206823256
248,26.161044603685525,26.150555068542133,25.41897972357748,25.77735722879595
250,26.162856550384788,26.152553567588313,25.419957115784825,25.778334640669243
252,26.164632587775998,26.15451245631067,25.420915118703363,25.779292662862986
254,26.16637355934182,26.15643266848832,25.42185419390711,25.780231756960177
256,26.168080221173852,26.15831503894225,25.422774747876304,25.781152329449412
258,26.169753274262405,26.16016034103842,25.42367716183486,25.78205476156222
260,26.17139315510252,26.161969055845645,25.42456172316446,25.782939340684436
262,26.173000688588616,26.163742093656822,25.425428857048644,25.783806492009376
264,26.174576560525963,26.165480211055808,25.426278939323822,25.784656591380212
266,26.176121383298494,26.167184082522965,25.42711229467767,25.785489963491727
268,26.177635641422455,26.168854239552445,25.42792915872127,25.786306843960915
270,26.179120016464083,26.17049143398782,25.42872990433699,25.787107605677647
272,26.180575097913845,26.172096314709677,25.42951484026429,25.787892557387977
274,26.18200146363216,26.173669518349413,25.430284271516086,25.788662004110847
276,26.1833996894523,26.17521168626098,25.43103854215184,25.789416289911628
278,26.184770324982708,26.176723421755867,25.431777927503788,25.790155690128813
280,26.186113912497888,26.178205323488726,25.432502718312037,25.790880495508077
282,26.187430981995988,26.17965797672349,25.433213198715464,25.791590990194322
284,26.18872207002761,26.181081973433436,25.433909658318328,25.792287463797265
286,26.189987682289882,26.18247787236959,25.43459236821792,25.792970187419712
288,26.19122831659837,26.18384622358309,25.435261595726104,25.7936394283783
290,26.19244446075669,26.185187566151455,25.43591760300393,25.794295448840217
292,26.193636609131715,26.186502443471284,25.436560665994364,25.794938524753547
294,26.1948052374359,26.187791379694147,25.437191046643136,25.795568918070217
296,26.195950801255265,26.189054878354284,25.437808991280406,25.796186875124818
298,26.197073751800133,26.190293437082744,25.438414747967556,25.79679264398419
300,26.198174539620766,26.191507552172823,25.43900855644887,25.79738646439705
302,26.199253612921268,26.19269771681553,25.439590648745423,25.79796856838948
