"time","tank1.medium.T_degC","tank.medium.T_degC","tank11.medium.T_degC"
118,25.88357643845262,25.91878941835847,25.289094202781428
120,25.890955306237686,25.925463517334208,25.292652640363087
122,25.89818661972589,25.932005188476353,25.296144117979736
124,25.90527352196642,25.93841715315699,25.299569338794697
126,25.91221904371031,25.94470205055444,25.30292984959334
128,25.919026187187285,25.950862497260175,25.306226604240067
130,25.92569791102011,25.956901077217537,25.309460467059637
132,25.932236980759114,25.962820228300927,25.312632624003243
134,25.938646247867553,25.968622450286887,25.31574410858019
136,25.944928345978894,25.974310067117187,25.31879594026435
138,25.951085940537098,25.9798854289117,25.321789148437176
140,25.95712159421788,25.98535080199673,25.32472474625905
142,25.963037714232144,25.99070832413514,25.327603769249492
144,25.96883681336061,25.995960220118093,25.330427244193572
146,25.974521263511008,26.001108598236726,25.33319616349212
148,25.98009330596443,26.00615545870795,25.335911484839983
150,25.985555388524915,26.011102972653987,25.33857422339969
152,25.990909525178324,26.01595295108899,25.34118530247798
154,25.996158091803466,26.020707505607618,25.34374571739187
156,26.001303174617135,26.025368503436482,25.3462563923826
158,26.006346755046536,26.029937722642842,25.34871822329518
160,26.011291056112384,26.034417146862268,25.351132172330438
162,26.016137837664076,26.03880836601985,25.353499103431147
164,26.020889240166696,26.043113293501108,25.355819955803383
166,26.02554716689059,26.047333638636758,25.358095597353042
168,26.03011341421751,26.051471017840242,25.360326854386074
170,26.034589869341687,26.05552712646687,25.36251458855071
172,26.038978334324668,26.05950358586705,25.364659628362062
174,26.043280571733646,26.063401983060032,25.366762786965012
176,26.047498257906398,26.067223828715157,25.368824844970902
178,26.05163303923274,26.070970607753054,25.370846571125696
180,26.055686552818713,26.074643797922874,25.372828729898686
182,26.059660373766803,26.078244822404997,25.37477206212185
184,26.063556033852194,26.081775066602006,25.376677291849035
186,26.06737516190725,26.08523599768438,25.378545324583058
188,26.071119269722033,26.08862898227136,25.380376944960688
190,26.074789762636385,26.091955295451896,25.382172831709852
