"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC"
178,25.963750544333777,25.928065817564573,25.93780480092272,25.86709371542753,25.383704530393572,25.156711261377097
180,25.967803132963866,25.93266689502201,25.94224285183435,25.871902305654373,25.38582782735017,25.158928678908467
182,25.971794070435124,25.93719731150628,25.94661292801362,25.876638407640428,25.38791833089698,25.161144679877054
184,25.975724359882463,25.941658225609046,25.95091614189363,25.881303190642654,25.38997658055638,25.163358957428898
186,25.979594977929935,25.946050762170387,25.95515357380833,25.88589779574096,25.392003101211174,25.165571225035194
188,25.98340688586319,25.950376030265318,25.959326288778527,25.890423343871078,25.39399841008816,25.16778119912277
190,25.98716102541772,25.954635116421457,25.96343533018313,25.89488093279573,25.395963014124902,25.169988605623132
192,25.99085831877727,25.95882908461857,25.967481719757927,25.899271637104164,25.39789740996963,25.17219317997393
194,25.994499723083266,25.962959034079233,25.971466513379312,25.903596597080707,25.399802101308353,25.174394640458843
196,25.998086238628332,25.967026107955178,25.97539080945063,25.90785703206319,25.401677601469544,25.176592684200784
198,26.001618679297565,25.971031249950272,25.97925551397276,25.91205386618236,25.40352436045208,25.17878709943335
200,26.005097918380272,25.974975464927695,25.98306159210614,25.916188129119803,25.405342843063806,25.18097764528028
202,26.008524812421513,25.978859738180006,25.986809990240488,25.920260831960434,25.407133504715546,25.1831640889979
204,26.011900201222545,25.98268503542789,25.990501635996168,25.924272967193076,25.40889679142134,25.185346205974554
206,26.015224914322914,25.986452312941253,25.99413744792463,25.92822550084628,25.410633148915906,25.187523774771478
208,26.01849983927292,25.99016262411925,25.997718437671494,25.932119289683726,25.412343118683168,25.18969652489119
210,26.021725730097216,25.993816820479253,26.00124542335783,25.935955313514853,25.41402706855132,25.191864283312214
212,26.024903371863445,25.997415808567723,26.00471927584357,25.939734475592275,25.41568542416593,25.19402684858602
214,26.028033534010717,26.000960477102296,26.00814084888924,25.943457659218268,25.417318603345564,25.196184026542994
216,26.03111697035041,26.004451696970648,26.011510979154366,25.94712572774489,25.418927016081113,25.19833563029175
218,26.034154419064805,26.007890321230605,26.01483048619872,25.95073952457318,25.420511064536015,25.20048148021948
220,26.037146753280183,26.011277309739114,26.018100292587462,25.954300367345752,25.42207115634477,25.202621377608068
222,26.040094653138055,26.01461345772526,26.021321162314678,25.957808971653833,25.423607675650885,25.204755162094955
224,26.042998813286715,26.01789956753106,26.02449386631116,25.96126613204177,25.425121001431478,25.206882675316535
226,26.04585993654888,26.02113644337095,26.02761917739491,25.96467270122963,25.426611506938514,25.209003762015925
228,26.048678712437038,26.02432487354787,26.030697853131812,25.96802951959222,25.428079557802164,25.211118273809518
230,26.051455817151407,26.02746563045247,26.03373063583541,25.971337415158644,25.42952551202876,25.213226069185964
232,26.054191915051604,26.03055952726828,26.03671830623165,25.974596847616056,25.43094974061995,25.215326905718655
234,26.056887656449987,26.033607332896224,26.039661602945728,25.97780844241646,25.43235259663919,25.217420601781953
236,26.059543677208865,26.036609756378482,26.04256120775807,25.9809730885749,25.43373440954798,25.21950706616059
238,26.062160600680215,26.0395675217448,26.04541781644167,25.984091468764348,25.43509551242022,25.221586155775356
240,26.064739036939102,26.042481338446635,26.0482321107782,25.987164244942107,25.436436231191976,25.223657731884543
242,26.06727958278367,26.045351901356582,26.05100475855926,25.990192058349805,25.437756884661383,25.225721660085185
244,26.069782862434238,26.048179916937727,26.053736436507336,25.993175855489255,25.43905782185908,25.227777860533422
246,26.072249534759123,26.050966107890474,26.056427834343992,25.99611694599031,25.44033942868367,25.22982631686051
248,26.074680115810963,26.05371109904189,26.05907955484662,25.999015581245374,25.441601964949598,25.231866857191847
250,26.07707516937279,26.05641553986817,26.06169222115949,26.001872480561644,25.44284573935198,25.233899389270448
252,26.07943524774265,26.059080066418403,26.064266443446,26.00468835688008,25.444071055092707,25.23592382738974
254,26.081760951008903,26.06170536056476,26.06680288048443,26.007463657837718,25.445278201817302,25.237939992497047
256,26.084052854652157,26.064292077635002,26.06930216443567,26.0101988820266,25.44646746546306,25.23994773420287
258,26.08631146569627,26.066840802584522,26.071764855275944,26.01289477054553,25.447639134224517,25.24194700467848
260,26.088537314128473,26.069352141374623,26.074191535797638,26.01555190764094,25.4487934861167,25.243937704589086
262,26.0907309207376,26.071826688825638,26.076582778188083,26.018170861203373,25.44993079335103,25.245919737294855
264,26.09289287153291,26.0742650522281,26.078939168864224,26.02075254090795,25.451051385583185,25.247893213410123
266,26.095023677000484,26.076667806688135,26.081261261503585,26.023297520885706,25.452155530295897,25.24985806393471
268,26.097123837450056,26.079035515860426,26.0835495988527,26.025806354202757,25.45324348833543,25.251814219874348
270,26.09919386015082,26.081368737384935,26.08580471844442,26.028279655329868,25.454315528477366,25.253761659344434
272,26.101234243542365,26.08366801876531,26.088027148164826,26.030718030498576,25.455371914346813,25.25570036482594
