"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","T_pumpB_out.T"
286,26.120877899724803,26.106017644917017,25.397446241105,25.00367480061726,25.755729637008244
288,26.122811293733378,26.10815340764742,25.39848780707115,25.00362626921884,25.756771224254635
290,26.12471641392682,26.110257936587175,25.399514150172934,25.00357844286583,25.75779758832425
292,26.1265936499305,26.112331659712083,25.40052548277646,25.003531310142932,25.758808941587745
294,26.12844340331145,26.114375020138198,25.401522023101677,25.003484861053323,25.759805502269273
296,26.130266071002723,26.11638845603767,25.40250398713141,25.003439085925436,25.76078748635649
298,26.132062042850578,26.118372397666406,25.403471587414913,25.003393975250958,25.76175510640269
300,26.133831701614838,26.120327267364075,25.40442503306673,25.003349519684377,25.762708571527128
302,26.13557547101351,26.12225353722573,25.405364522237107,25.003305710276152,25.763648079883637
304,26.13729372480924,26.12415161997336,25.406290256361274,25.00326253803263,25.764573832911708
306,26.13898681971449,26.126021908451264,25.407202435001807,25.003219994075437,25.765486030178067
308,26.1406551206897,26.127864805995102,25.408101251883465,25.003178069762782,25.766384865411794
310,26.142298986522235,26.129680709121715,25.408986897153966,25.003136756621586,25.767270528764357
312,26.14391876982603,26.13147000752764,25.40985955738398,25.003096046345547,25.768143206809896
314,26.145514838744646,26.133233108943784,25.410719439307798,25.003055927879984,25.76900310628764
316,26.147087557247175,26.13497041656916,25.411566748269763,25.003016390069376,25.769850432545695
318,26.148637253630056,26.136682293002366,25.412401653764448,25.002977425889583,25.770685355082776
320,26.15016426762594,26.13836911418747,25.413224340974296,25.002939026118327,25.771508059084226
322,26.151668934658403,26.140031251384414,25.414034993542657,25.002901181449886,25.772318728198286
324,26.153151585967123,26.141669071310446,25.414833793712035,25.002863882479403,25.773117544670754
326,26.154612541611357,26.143282927080634,25.41562091209181,25.00282712258951,25.773904679114594
328,26.156052101156718,26.14487314615127,25.41639649405289,25.002790901783726,25.774680276903155
330,26.1574705912239,26.146440091758052,25.41716072891353,25.002755207326743,25.77544452735873
332,26.158868320323734,26.14798410452346,25.417913784134214,25.002720032200216,25.776197597945668
334,26.160245592242802,26.149505519736806,25.418655824761856,25.002685369676612,25.776939653713498
336,26.161602706088672,26.151004667396307,25.419387013449693,25.002651213335923,25.777670857319606
338,26.16293995681707,26.152481872805254,25.42010750982007,25.00261755678406,25.77839136838901
340,26.164257644322504,26.153937467278922,25.420817456657744,25.002584387356194,25.7791013297101
342,26.16555604773356,26.155371758410695,25.42151701522772,25.002551701988125,25.77980090255096
344,26.166835447906294,26.156785055861803,25.422206335952694,25.002519494149908,25.780490237337347
346,26.168096120955454,26.158177663984418,25.422885566568823,25.00248775746087,25.781169481808263
348,26.169338338254363,26.159549881821647,25.423554852126074,25.002456485687674,25.781838781016972
350,26.170562366435604,26.16090200310856,25.424214334988335,25.002425672746824,25.78249827733009
352,26.171768491894625,26.162234350148708,25.424864174865604,25.002395306234746,25.783148130460972
354,26.17295696777802,26.163547200524533,25.425504505476,25.002365381421157,25.783788474130574
356,26.174128046962608,26.164840832690913,25.4261354615075,25.00233589254441,25.78441944302932
358,26.17528198161648,26.16611552536932,25.426757178258015,25.00230683292608,25.785041172458136
360,26.17641901955261,26.167371552505927,25.427369788654516,25.002278195935617,25.785653795347002
362,26.177539404228526,26.16860918327103,25.427973423253945,25.0022499749885,25.78625744225485
364,26.178643394768017,26.169828704109307,25.428568223609602,25.002222165353203,25.786852254738392
366,26.179731234095073,26.171030383644904,25.429154320996247,25.0021947612766,25.787438364074887
368,26.180803147983227,26.172214471637233,25.42973183577459,25.00216775589746,25.78801589062755
370,26.181859367667073,26.17338122387997,25.430300892488447,25.0021411432877,25.78858495894258
372,26.18290012047936,26.174530891891038,25.430861613614127,25.00211491760598,25.789145691499073
374,26.183925629852126,26.17566372291361,25.431414119560202,25.002089073098944,25.789698208708103
376,26.184936125827164,26.176779970188534,25.431958535658566,25.00206360509361,25.790242635903724
378,26.185931840949422,26.177879888940254,25.432494989431405,25.00203850960878,25.790779100611758
380,26.186912979057695,26.178963705875674,25.43302358983857,25.00201378040964,25.791307711793593
382,26.1878797524069,26.180031655463438,25.433544451962632,25.00198941251125,25.79182858453447
384,26.188832369744034,26.18108396828285,25.43405768908093,25.001965401054065,25.79234183211406
386,26.189771036309992,26.18212087102296,25.434563412665568,25.001941741303142,25.792847566006913
388,26.190695957172863,26.183142590088266,25.435061732788597,25.001918428025363,25.793345896287065
390,26.191607349899584,26.184149365298993,25.43555275966247,25.00189545312054,25.79383693316879
392,26.192505400694984,26.185141402468332,25.436036598308135,25.001872813820285,25.794320781675538
394,26.193390304073944,26.186118916295243,25.43651335337819,25.001850505272216,25.794797546461666
396,26.194262251343673,26.18708211791335,25.436983127755582,25.001828522693188,25.79526733041257
398,26.195121430605184,26.188031214891055,25.43744602255498,25.00180686136838,25.795730234645077
400,26.19596802675261,26.188966411230638,25.43790213712208,25.001785516652205,25.79618635850659
402,26.196802240226305,26.189887930041493,25.438351579482458,25.001764482782676,25.79663581002501
404,26.19762424262882,26.190795959880063,25.438794441611492,25.001743755686732,25.79707868117805
406,26.19843421127115,26.19169069651599,25.439230818684393,25.001723330795983,25.797515067142342
408,26.19923232116338,26.192572333248847,25.439660804611265,25.0017032035542,25.797945061830262
410,26.2000187443586,26.193441060114253,25.44008449167319,25.001683369458135,25.798368757523917
412,26.200793649952914,26.194297063884562,25.44050197052087,25.001663824057403,25.79878624487708
414,26.20155722009696,26.195140545988636,25.440913343194495,25.001644564288483,25.799197625931583
416,26.202309618809807,26.195971687609074,25.441318697766576,25.00162558587664,25.799602988761535
418,26.203051005108534,26.196790664376238,25.441718119017708,25.001606884430487,25.80000241814969
420,26.203781539658678,26.197597653810305,25.442111693842605,25.001588455994863,25.80039600099201
422,26.204501380461522,26.1983928304972,25.442499507745026,25.001570296692137,25.800783822794756
424,26.20521068285558,26.199176366087443,25.44288164483845,25.00155240272244,25.80116596767209
426,26.205909599515792,26.19994842929742,25.443258187844606,25.001534770363094,25.801542518348924
428,26.206598280453534,26.200709185908238,25.443629218095282,25.001517395969188,25.80191355615773
430,26.207276887225305,26.201458814188697,25.443994819696343,25.001500275171168,25.802279165205675
432,26.207945575057636,26.202197485492718,25.4443550742879,25.001483403884265,25.80263942713532
434,26.208604477653978,26.202925347768485,25.44471005659051,25.001466779165582,25.802994416667957
436,26.209253737546135,26.203642558503077,25.445059843302317,25.001450397500832,25.803344210504065
438,26.209893494850064,26.204349272516822,25.445404509803836,25.001434255439847,25.803688884025178
440,26.21052388726531,26.20504564196375,25.445744130156697,25.001418349595326,25.80402851129446
442,26.211145050074776,26.20573181633125,25.446078777104333,25.001402676644318,25.80436316505711
444,26.21175711614586,26.20640794244042,25.44640852207141,25.001387233326852,25.80469291673944
446,26.212360228197724,26.207074177705465,25.446733442569155,25.00137201581839,25.80501784385359
448,26.212954550632105,26.20773070292347,25.447053629334448,25.00135701912319,25.805338037138995
450,26.213540185915292,26.20837763189064,25.44736913586422,25.001342241358145,25.80565355009344
452,26.214117261945432,26.209015105837068,25.447680031143534,25.001327679277495,25.80596445170363
454,26.2146859045493,26.209643263699775,25.447986383048317,25.001313329680954,25.806270809846353
456,26.215246237482745,26.21026224212204,25.448288258343553,25.001299189414397,25.806572691288693
458,26.215798382429796,26.210872175453062,25.448585722684527,25.001285255369396,25.80687016168656
460,26.216342459004125,26.211473195748397,25.448878840615805,25.001271524483343,25.807163285586398
462,26.21687858474712,26.21206543277043,25.44916767557214,25.001257993740012,25.80745212642421
464,26.217406875129825,26.212649013987345,25.449452289878366,25.001244660168652,25.80773674652562
466,26.217927443551332,26.213224064573694,25.44973274474836,25.001231520844442,25.808017207106218
468,26.218440401340047,26.213790707410737,25.450009100286536,25.00121857288849,25.80829356827178
470,26.218945857752317,26.214349063085535,25.450281415486586,25.00120581346829,25.808565889016847
472,26.219443919974367,26.21489924989163,25.45054974823239,25.00119323979635,25.80883422722684
474,26.219934693120024,26.21544138382916,25.450814155297337,25.001180849131572,25.809098639676336
476,26.220418280232423,26.21597557860406,25.451074692345117,25.00116863877912,25.809359182029823
478,26.220894782283324,26.21650194562909,25.451331413928358,25.001156606089182,25.809615908841465
480,26.22136434588282,26.217020650959228,25.451584392696702,25.001144750590527,25.809868892761244
482,26.221827047376394,26.217531776974454,25.451833672736427,25.00113306881036,25.810118177876802
484,26.222282972113646,26.218035416978694,25.45207930148314,25.001121557816475,25.810363811625052
486,26.22273221482243,26.218531675644783,25.452321329870472,25.001110215234405,25.810605844940596
488,26.22317486825608,26.21902065546857,25.452559807761588,25.001099038739824,25.810844327687732
490,26.223611023195474,26.21950245676959,25.452794783948946,25.00108802605888,25.811079308659487
492,26.22404076844788,26.219977177690282,25.45302630615373,25.001077174967634,25.811310835578638
494,26.22446419084764,26.220444914196662,25.453254421027225,25.001066483292846,25.811538955096864
496,26.224881375255393,26.220905760077528,25.453479174149322,25.001055948911187,25.811763712795255
498,26.225292404558616,26.22135980694526,25.453700610029443,25.00104556974992,25.811985153184196
500,26.225697359671642,26.221807144235697,25.453918772106306,25.001035343786555,25.812203319703144
502,26.22609643553193,26.222247987201342,25.45413376531286,25.00102526615848,25.8124183172867
504,26.226489796299745,26.222682517135297,25.454345677975596,25.001015332771146,25.812630234263224
506,26.226877402554294,26.223110690693545,25.454554488608494,25.001005544604084,25.812839049146305
508,26.227259338010583,26.223532600404667,25.45476024213525,25.000995899568636,25.813044806860546
510,26.227635684926156,26.223948337189483,25.454962982686823,25.00098639561469,25.813247551538097
512,26.228006524100408,26.224357990360488,25.455162753601428,25.000977030729075,25.813447326517405
514,26.22837193487493,26.2247616476223,25.45535959742466,25.000967802936373,25.813644174345313
516,26.2287319951335,26.225159395071444,25.455553555909148,25.00095871029845,25.81383813677519
518,26.229086781301987,26.225551317196448,25.455744670014894,25.000949750914117,25.814029254767718
520,26.229436368348672,26.22593749687809,25.455932979909278,25.00094092292062,25.81421756849113
522,26.22978082978358,26.226318015388586,25.45611852496694,25.000932224491805,25.814403117320637
524,26.230120241696852,26.226692956556178,25.45630134733068,25.000923653674192,25.814585943400516
526,26.23045471351719,26.2270624384833,25.45648151904294,25.000915207126525,25.8147661187769
528,26.230784285789525,26.227426508134783,25.456659051881104,25.000906884306175,25.81494365522599
530,26.23110902804632,26.227785242262087,25.45683398368368,25.00089868346066,25.815118590586394
532,26.231429008454654,26.228138716104752,25.457006351578173,25.000890602872175,25.815290961986648
534,26.231744293816917,26.228487003390512,25.45717619198132,25.000882640855764,25.815460805844737
536,26.232054949571364,26.228830176334498,25.45734354059988,25.000874795760467,25.815628157867764
538,26.2323610397911,26.229168305640712,25.457508432429506,25.00086706596852,25.815793053052232
540,26.232662627184652,26.229501460500444,25.457670901755648,25.000859449896268,25.81595552568473
542,26.232959773095388,26.229829708593627,25.45783098215287,25.000851945993475,25.81611560933993
544,26.23325253750255,26.230153116087592,25.457988706485196,25.00084455274356,25.81627333688334
546,26.23354097902046,26.23047174763809,25.458144106906104,25.000837268663247,25.816428740468723
548,26.23382526573954,26.23078579083318,25.45829726097105,25.000830089102408,25.816581897650394
550,26.234105419321338,26.231095268881234,25.45844818517486,25.00082301363335,25.816732824924543
552,26.23438147075541,26.231400215483347,25.458596899749466,25.000816041553833,25.816881542524243
554,26.234653480041572,26.23170069693134,25.45874343685381,25.000809171317485,25.81702808260917
556,26.2349215061692,26.23199677840404,25.45888782808305,25.000802401401813,25.81717247677483
558,26.235185607119263,26.23228852396636,25.459030104470287,25.000795730306947,25.817314756054998
560,26.235445839862052,26.23257599657046,25.459170296485297,25.000789156557232,25.81745495091991
562,26.23570226035889,26.23285925805527,25.45930843403511,25.00078267869975,25.817593091277104
564,26.23595492356145,26.233138369146047,25.459444546463885,25.00077629530523,25.81772920647137
566,26.23620388341152,26.23341338945471,25.459578662552815,25.000770004968047,25.81786332528452
568,26.236449192841235,26.233684377480756,25.459710810520903,25.000763806305315,25.81799547593539
570,26.236690911944322,26.233951398900615,25.45984102583617,25.000757698331824,25.818125693895013
572,26.236929099497218,26.234214517967132,25.459969343111254,25.000751680071915,25.81825401377813
574,26.237163796572588,26.23447378087741,25.460095780431686,25.000745749808686,25.818380453668112
576,26.237395053017224,26.23472924264405,25.460220364675422,25.0007399062967,25.81850504044428
578,26.237622917718284,26.23498095721783,25.46034312220587,25.000734148316212,25.818627800470153
580,26.237847438604206,26.23522897748643,25.46046407887212,25.000728474673167,25.81874875959545
582,26.23806866264391,26.235473355276497,25.460583260007695,25.00072288419875,25.818867943154714
584,26.23828663584669,26.235714141351252,25.460700690431906,25.000717375750526,25.818985375967713
586,26.238501403262887,26.23595138541242,25.460816394449637,25.000711948211176,25.819101082339387
588,26.23871300898378,26.23618513609955,25.460930395850426,25.00070660048931,25.819215086060467
590,26.238921496140904,26.236415440989788,25.46104271790938,25.000701331519224,25.819327410406288
592,26.23912691304082,26.236642353567333,25.461153386484,25.000696140100274,25.81943808123492
594,26.239329386841234,26.236866016936972,25.46126246721525,25.000691022972717,25.81954716418511
596,26.239528896543277,26.237086405892057,25.461369950906317,25.000685980748074,25.819654650062034
598,26.2397254856283,26.2373035685186,25.46147586088688,25.000681012353823,25.819760562196848
600,26.239919196843005,26.237517552094857,25.461580220086432,25.00067611673734,25.819864923518253
602,26.24011007220105,26.2377284030934,25.461683051032708,25.000671292866002,25.819967756555172
604,26.240298152980984,26.237936167180635,25.461784375852915,25.00066653972607,25.820069083434817
606,26.240483479728198,26.238140889216368,25.461884216272836,25.000661856324598,25.82016892588365
608,26.240666092253548,26.23834261325436,25.461982593617734,25.000657241688202,25.820267305227276
610,26.2408460296337,26.238541382541655,25.4620795288119,25.00065269486271,25.820364242389587
612,26.241023330211817,26.238737239519367,25.462175042377964,25.000648214914634,25.82045975789447
614,26.241198031596525,26.23893022582257,25.462269154438047,25.000643800929367,25.820553871863922
616,26.241370179235503,26.23912039069927,25.462361892389765,25.000639451661925,25.82064661169784
618,26.24153980763964,26.2393077725705,25.46245327409389,25.00063516630422,25.820737995256536
620,26.24170695037452,26.239492408844228,25.46254331682036,25.000630944077045,25.820828039810294
622,26.24187164297706,26.239674338778684,25.462632039861603,25.00062678410967,25.82091676465177
624,26.242033920329447,26.23985360090404,25.462719462179564,25.00062268554865,25.82100418874336
626,26.24219381666188,26.240030233024243,25.462805602408423,25.000618647556223,25.821090330719812
628,26.242351365555407,26.240204272221092,25.4628904788579,25.000614669311346,25.82117520889085
630,26.242506599945557,26.24037575485596,25.462974109515415,25.000610750009002,25.8212588412448
632,26.24265955212462,26.24054471657422,25.46305651204949,25.00060688886066,25.821341245450526
634,26.242810253745972,26.240711192307856,25.463137703812038,25.00060308509302,25.821422438860566
636,26.24295873582622,26.240875216278084,25.46321770184153,25.000599337948813,25.821502438513562
638,26.243105043663206,26.241036838596244,25.463296528534613,25.000595645763326,25.821581266805993
640,26.243249225729812,26.241196112904106,25.46337420742651,25.000592006652198,25.82165894727251
642,26.243391294299443,26.241353052555894,25.463450748225625,25.00058842094751,25.821735489622938
644,26.24353128079025,26.241507692207108,25.463526167851967,25.00058488777387,25.821810910777913
646,26.243669216270803,26.24166006611955,25.463600483028983,25.000581406253616,25.821885227461053
648,26.243805131473152,26.24181020817622,25.463673710290834,25.000577975507042,25.821958456206744
650,26.243939056807164,26.241958151897222,25.463745865987846,25.0005745946508,25.82203061336577
652,26.244071022375294,26.24210393045354,25.4638169662947,25.00057126279836,25.82210171511315
654,26.244201057984185,26.242247576682814,25.463887027216913,25.00056797905728,25.82217177745474
